perturbagen	down-imputed	down-measured	up-imputed	up-measured
4072	2	16	3	0
4074	1	10	1	0
4077	6	23	1	8
4086	2	20	2	13
4087	57	90	33	61
4088	17	39	20	22
4089	116	99	120	108
4090	0	9	1	3
4091	0	7	0	3
4092	147	102	104	101
4094	6	16	4	14
4097	12	43	8	27
4117	0	3	0	0
4121	2	10	2	2
4122	6	27	10	17
4125	3	12	4	7
4129	5	0	3	2
4139	0	8	2	7
4140	0	2	2	1
4141	3	23	4	3
4143	18	46	21	20
4144	5	20	2	14
4148	3	4	3	4
4149	18	41	13	29
4151	3	14	1	11
4154	21	47	41	27
4170	18	34	8	7
4171	3	27	2	9
4172	145	105	171	83
4173	5	13	7	6
4174	7	25	7	13
4175	3	17	3	6
4176	7	17	7	13
4179	3	9	3	7
4189	12	23	7	6
4190	13	35	11	16
4191	43	47	27	22
4193	0	5	1	4
4194	1	10	1	10
4199	9	28	8	5
4200	211	144	146	110
4204	47	58	25	19
4205	2	17	4	5
4208	2	11	5	1
4212	20	22	7	20
4214	7	18	4	11
4215	1	4	0	2
4216	27	49	13	11
4217	25	64	27	22
4221	13	33	3	15
4223	8	28	4	16
4232	7	31	6	16
4233	53	63	16	40
4234	31	30	1	4
4238	3	9	2	5
4245	4	39	3	23
4254	4	17	4	7
4255	4	21	5	8
4258	7	38	16	24
4261	0	1	1	0
4267	0	4	0	3
4282	12	17	8	14
4286	6	16	6	1
4287	4	22	3	7
4292	6	10	5	5
4293	0	5	0	1
4294	1	9	0	2
4296	0	4	0	1
4297	94	68	94	43
4299	37	53	99	46
4300	15	13	6	12
4302	15	39	7	26
4303	31	34	34	35
4312	3	9	1	2
4313	1	11	3	2
4316	1	7	3	8
4323	8	31	5	10
4329	7	28	5	19
4331	4	6	1	5
4342	1	0	2	0
4351	34	46	16	26
4352	7	16	6	4
4354	0	9	2	4
4355	1	5	0	1
4356	0	1	0	0
4363	1	4	1	0
4436	22	30	5	17
4439	14	28	12	12
4482	60	53	68	37
